word,avg_num_guesses 
salet,3.53304535637149 
slate,3.5369330453563714 
slane,3.545572354211663 
alist,3.5511879049676027 
crate,3.5542116630669547
slant,3.555939524838013 
stale,3.557235421166306 
clast,3.5572354211663066
carte,3.5598272138228944
slart,3.560691144708424 
carse,3.561123110151188
caret,3.5628509719222463
crane,3.563282937365011
crost,3.5645788336933046
stare,3.567170626349892 
setal,3.569330453563715 
canst,3.5697624190064796
spale,3.570194384449244 
carts,3.5706263498920086
carle,3.571490280777538
clart,3.571490280777538
slipt,3.5732181425485963 
scart,3.574082073434125 
spate,3.575377969762419 
scale,3.5758099352051835 
caste,3.5762419006479482
saint,3.576673866090713 
clits,3.576673866090713
cleat,3.576673866090713
snort,3.577105831533477 
antre,3.5779697624190065 
artel,3.5784017278617712 
slade,3.5784017278617712 
clats,3.5784017278617712
spalt,3.5792656587473 
scant,3.5792656587473 
crape,3.5792656587473
snirt,3.5801295896328296 
spilt,3.5801295896328296 
salep,3.580561555075594 
silen,3.580561555075594 
alien,3.5809935205183585 
seral,3.5809935205183585 
satin,3.5809935205183585 
caple,3.5809935205183585
scrat,3.582289416846652 
slept,3.582289416846652 
cripe,3.582289416846652
crise,3.582289416846652
alert,3.582721382289417 
sault,3.582721382289417 
clint,3.582721382289417
claes,3.582721382289417
clote,3.582721382289417
cater,3.582721382289417
spane,3.583153347732181 
crest,3.5831533477321815
aline,3.583585313174946 
slier,3.583585313174946 
carns,3.583585313174946
crine,3.583585313174946
salto,3.5840172786177105 
sitar,3.5840172786177105 
strae,3.5840172786177105 
sepal,3.584449244060475 
smalt,3.584449244060475 
slice,3.584449244060475 
crust,3.584449244060475
sorel,3.58488120950324 
stole,3.58488120950324 
snore,3.58488120950324 
corse,3.58488120950324
clean,3.58488120950324
stane,3.585313174946004 
stela,3.585313174946004 
sprit,3.585313174946004 
stile,3.585745140388769 
shalt,3.585745140388769 
anile,3.586177105831533 
crone,3.5861771058315335
close,3.5861771058315335
crans,3.586609071274298
clone,3.586609071274298
arets,3.5870410367170624 
steal,3.5870410367170624 
artis,3.587473002159827 
salon,3.587473002159827 
snare,3.587473002159827 
airts,3.587904967602592 
splat,3.587904967602592 
store,3.587904967602592 
stire,3.5883369330453565 
crits,3.5883369330453565
apert,3.5887688984881208 
slain,3.5887688984881208 
sient,3.589200863930885 
clade,3.5892008639308854
socle,3.58963282937365 
stair,3.58963282937365 
clans,3.58963282937365
cline,3.58963282937365
cairn,3.58963282937365
arled,3.590064794816415 
saner,3.590064794816415 
split,3.590064794816415 
spelt,3.590064794816415 
santo,3.590496760259179 
slipe,3.590496760259179 
coast,3.590496760259179
cants,3.5909287257019438
sarin,3.590928725701944 
spite,3.590928725701944 
scrae,3.5913606911447085 
ancle,3.591792656587473 
spile,3.591792656587473 
spart,3.5922246220302374 
alter,3.592656587473002 
sonce,3.592656587473002 
sprat,3.592656587473002 
blast,3.592656587473002
clapt,3.592656587473002
citer,3.592656587473002
scare,3.593088552915767 
siren,3.593088552915767 
aisle,3.5935205183585315 
surat,3.5935205183585315 
clasp,3.5939524838012957
crept,3.5939524838012957
starn,3.593952483801296 
spirt,3.593952483801296 
spait,3.5943844492440604 
curst,3.5943844492440604
speat,3.594816414686825 
spare,3.594816414686825 
crisp,3.594816414686825
astir,3.59524838012959 
alone,3.59524838012959 
serin,3.59524838012959 
blase,3.59524838012959
colts,3.59524838012959
snail,3.595680345572354 
smart,3.595680345572354 
spiel,3.595680345572354 
carls,3.595680345572354
saine,3.5961123110151187 
sonar,3.5961123110151187 
clons,3.5961123110151187
serac,3.5965442764578834 
anole,3.596976241900648 
slope,3.596976241900648 
space,3.596976241900648 
brant,3.596976241900648
beast,3.596976241900648
caner,3.596976241900648
brast,3.5974082073434124
clipt,3.597840172786177
cruet,3.597840172786177
seron,3.5982721382289418 
blate,3.5982721382289418
blist,3.5982721382289418
saunt,3.5987041036717065 
siler,3.5987041036717065 
stoln,3.5987041036717065 
snarl,3.5987041036717065 
altos,3.5991360691144707 
scail,3.5991360691144707 
caron,3.5991360691144707
carps,3.5991360691144707
coles,3.5991360691144707
alecs,3.5995680345572354 
strep,3.5995680345572354 
celts,3.5995680345572354
clies,3.5995680345572354
cones,3.5995680345572354
cries,3.5995680345572354
salop,3.6 
shale,3.6 
certs,3.6
clipe,3.6
armet,3.600431965442765 
senti,3.600431965442765 
slaid,3.600431965442765 
sorta,3.600431965442765 
stear,3.600431965442765 
clame,3.600431965442765
clots,3.600431965442765
coste,3.600431965442765
crame,3.600431965442765
ariot,3.600863930885529 
salut,3.600863930885529 
cital,3.600863930885529
sceat,3.6012958963282937 
sable,3.6012958963282937 
steil,3.6012958963282937 
cares,3.6012958963282937
crips,3.6012958963282937
seton,3.6017278617710584 
cesta,3.6017278617710584
carol,3.6017278617710584
canoe,3.6017278617710584
arles,3.602159827213823 
spail,3.602159827213823 
soler,3.602159827213823 
spaer,3.602159827213823 
stone,3.602591792656588 
arpen,3.603023758099352 
stain,3.603023758099352 
ciels,3.603023758099352
corns,3.603023758099352
coset,3.603023758099352
coral,3.603023758099352
canes,3.6034557235421167
ceils,3.6034557235421167
calos,3.6034557235421167
crena,3.6034557235421167
soled,3.603887688984881 
sluit,3.603887688984881 
speal,3.603887688984881 
cates,3.603887688984881
arson,3.6043196544276457 
senor,3.6043196544276457 
scone,3.6043196544276457 
sport,3.6043196544276457 
